,X1,X2,X3,frequency
now even though,now,even,though,5
now feel like,now,feel,like,9
now go back,now,go,back,5
now im sure,now,im,sure,5
now ive got,now,ive,got,8
now just need,now,just,need,10
nuclear power plant,nuclear,power,plant,5
number times �ve,number,times,�ve,5
occupy wall street,occupy,wall,street,12
oil salt pepper,oil,salt,pepper,7
olive oil salt,olive,oil,salt,8
omega fatty acids,omega,fatty,acids,6
one best friends,one,best,friends,7
one best things,one,best,things,11
one brand new,one,brand,new,8
one can see,one,can,see,9
one can tell,one,can,tell,5
one day �ll,one,day,�ll,5
one day just,one,day,just,5
one day see,one,day,see,8
one day time,one,day,time,5
one day week,one,day,week,5
one favorite characters,one,favorite,characters,5
one first things,one,first,things,6
one foot front,one,foot,front,5
one form another,one,form,another,7
one hundred years,one,hundred,years,5
one last thing,one,last,thing,5
one last time,one,last,time,12
one might think,one,might,think,5
one night week,one,night,week,5
one random winner,one,random,winner,5
one step ahead,one,step,ahead,5
one step closer,one,step,closer,6
one thing always,one,thing,always,5
one thing another,one,thing,another,6
one thing can,one,thing,can,8
one thing certain,one,thing,certain,6
one thing ive,one,thing,ive,5
one thing know,one,thing,know,9
one thing sure,one,thing,sure,8
one time beating,one,time,beating,8
one two people,one,two,people,6
one two things,one,two,things,7
one two three,one,two,three,6
one way another,one,way,another,15
open highest form,open,highest,form,6
osama bin laden,osama,bin,laden,7
osiris paintball gun,osiris,paintball,gun,21
oven degrees f,oven,degrees,f,9
oven preheat oven,oven,preheat,oven,5
paintball fields minnesota,paintball,fields,minnesota,9
paintball marker repair,paintball,marker,repair,14
pan medium heat,pan,medium,heat,6
pan wire rack,pan,wire,rack,6
parchment lined sheet,parchment,lined,sheet,6
participant amazon services,participant,amazon,services,20
past couple days,past,couple,days,5
past couple months,past,couple,months,5
past couple weeks,past,couple,weeks,7
past couple years,past,couple,years,5
past present future,past,present,future,5
past three weeks,past,three,weeks,5
past three years,past,three,years,9
past two weeks,past,two,weeks,9
past two years,past,two,years,7
pay close attention,pay,close,attention,6
paying full price,paying,full,price,5
people around world,people,around,world,5
people feel like,people,feel,like,5
people make feel,people,make,feel,6
people passed away,people,passed,away,5
philip k dick,philip,k,dick,5
place baking sheet,place,baking,sheet,5
plastic wrap refrigerate,plastic,wrap,refrigerate,8
please contact us,please,contact,us,8
please feel free,please,feel,free,18
please join us,please,join,us,7
please keep mind,please,keep,mind,6
please leave comment,please,leave,comment,9
please let know,please,let,know,22
please make sure,please,make,sure,9
please please please,please,please,please,11
please tell us,please,tell,us,5
please use keyword,please,use,keyword,5
pm � pm,pm,�,pm,7
point want make,point,want,make,5
poor little guy,poor,little,guy,5
powder baking soda,powder,baking,soda,6
preheat oven �f,preheat,oven,�f,6
preheat oven degrees,preheat,oven,degrees,31
preheat oven f,preheat,oven,f,13
president barack obama,president,barack,obama,14
president united states,president,united,states,16
pretty damn good,pretty,damn,good,5
pretty good job,pretty,good,job,5
pretty much every,pretty,much,every,6
pretty much everything,pretty,much,everything,6
pretty much like,pretty,much,like,9
prime minister david,prime,minister,david,5
probably good thing,probably,good,thing,10
programmes designed provide,programmes,designed,provide,20
projects around house,projects,around,house,5
property law practice,property,law,practice,5
provide means sites,provide,means,sites,20
provided � �,provided,�,�,20
put another way,put,another,way,9
quantum field theories,quantum,field,theories,5
quarter ended march,quarter,ended,march,5
quite long time,quite,long,time,6
rack cool completely,rack,cool,completely,5
real estate agent,real,estate,agent,5
really didn�t want,really,didn�t,want,8
really didnt know,really,didnt,know,6
really didnt want,really,didnt,want,5
really don�t know,really,don�t,know,6
really don�t like,really,don�t,like,5
really don�t want,really,don�t,want,7
really dont care,really,dont,care,5
really dont know,really,dont,know,6
really dont want,really,dont,want,6
really easy make,really,easy,make,5
really feel like,really,feel,like,6
really good idea,really,good,idea,6
really hard time,really,hard,time,7
really long time,really,long,time,9
really looking forward,really,looking,forward,27
really need get,really,need,get,5
really pay attention,really,pay,attention,5
really really good,really,really,good,7
really really really,really,really,really,7
really want go,really,want,go,6
really wanted see,really,wanted,see,5
rear view mirror,rear,view,mirror,5
red pepper flakes,red,pepper,flakes,10
red riding hood,red,riding,hood,6
red white blue,red,white,blue,8
reduce heat cover,reduce,heat,cover,5
reduce heat medium,reduce,heat,medium,6
relationship jesus christ,relationship,jesus,christ,5
remember first time,remember,first,time,5
remember last time,remember,last,time,13
remove cake oven,remove,cake,oven,5
renault clio engine,renault,clio,engine,10
reporters without borders,reporters,without,borders,5
rest say history,rest,say,history,5
right around corner,right,around,corner,7
right front face,right,front,face,6
right hand side,right,hand,side,11
right now �,right,now,�,5
right now �m,right,now,�m,12
right now �s,right,now,�s,9
right now don�t,right,now,don�t,6
right now dont,right,now,dont,7
right now im,right,now,im,12
right now just,right,now,just,10
right now one,right,now,one,5
right now really,right,now,really,5
right now think,right,now,think,5
robert downey jr,robert,downey,jr,13
rock �n� roll,rock,�n�,roll,5
rock n roll,rock,n,roll,8
row � sts,row,�,sts,6
row ch turn,row,ch,turn,11
rush hour traffic,rush,hour,traffic,7
s early s,s,early,s,8
said � don�t,said,�,don�t,6
said � just,said,�,just,7
said council member,said,council,member,5
said felt like,said,felt,like,5
said something like,said,something,like,8
saks fifth avenue,saks,fifth,avenue,5
sallallahu alaihi wasallam,sallallahu,alaihi,wasallam,6
salt freshly ground,salt,freshly,ground,7
salt lake city,salt,lake,city,9
salt pepper taste,salt,pepper,taste,6
san francisco ca,san,francisco,ca,7
santelena hotel venice,santelena,hotel,venice,9
saucepan medium heat,saucepan,medium,heat,6
saw first time,saw,first,time,5
say things like,say,things,like,7
saying stuff like,saying,stuff,like,5
sc dec sc,sc,dec,sc,6
sc sc dec,sc,sc,dec,5
school law loyola,school,law,loyola,5
schumann porcelain factory,schumann,porcelain,factory,6
science fiction fantasy,science,fiction,fantasy,5
science graduate program,science,graduate,program,5
scraping sides bowl,scraping,sides,bowl,5
season happy new,season,happy,new,5
season salt pepper,season,salt,pepper,17
second book series,second,book,series,8
second time around,second,time,around,5
second world war,second,world,war,16
see also item,see,also,item,7
see can find,see,can,find,5
see everyone else,see,everyone,else,5
see item c,see,item,c,6
see light day,see,light,day,5
see many people,see,many,people,6
see next week,see,next,week,5
see things differently,see,things,differently,5
seemed like good,seemed,like,good,5
seems far away,seems,far,away,5
seems like �s,seems,like,�s,6
seems like just,seems,like,just,5
seen anything like,seen,anything,like,5
seen better days,seen,better,days,5
senior high school,senior,high,school,5
services llc amazon,services,llc,amazon,20
services llc andor,services,llc,andor,20
set aside minutes,set,aside,minutes,6
seven years ago,seven,years,ago,7
seven years old,seven,years,old,7
seventieth week daniel,seventieth,week,daniel,5
several months ago,several,months,ago,6
several years ago,several,years,ago,18
short amount time,short,amount,time,8
short period time,short,period,time,7
side next row,side,next,row,6
simon says stamp,simon,says,stamp,8
since can remember,since,can,remember,5
since high school,since,high,school,5
since ive posted,since,ive,posted,9
since last post,since,last,post,19
since last posted,since,last,posted,6
since last time,since,last,time,8
since years old,since,years,old,5
sinners christ died,sinners,christ,died,5
sites earn advertising,sites,earn,advertising,20
six year old,six,year,old,6
six years ago,six,years,ago,7
smack dab middle,smack,dab,middle,5
smith�s grand national,smith�s,grand,national,18
social media sites,social,media,sites,5
social networking sites,social,networking,sites,7
soda baking powder,soda,baking,powder,7
soft peaks form,soft,peaks,form,5
something along lines,something,along,lines,13
something completely different,something,completely,different,7
something like �,something,like,�,8
sometimes feel like,sometimes,feel,like,9
somewhere along way,somewhere,along,way,5
son jesus christ,son,jesus,christ,5
sooner rather later,sooner,rather,later,6
sounds like good,sounds,like,good,7
south carolina county,south,carolina,county,12
south carolina florists,south,carolina,florists,13
speaker john boehner,speaker,john,boehner,5
spend lot time,spend,lot,time,20
spend much money,spend,much,money,5
spend much time,spend,much,time,21
spend quality time,spend,quality,time,11
spend time family,spend,time,family,6
spending lot time,spending,lot,time,9
spent half hour,spent,half,hour,5
spent lot time,spent,lot,time,13
spent much time,spent,much,time,9
spirit egalitarian highest,spirit,egalitarian,highest,5
st patrick�s day,st,patrick�s,day,11
st patricks day,st,patricks,day,15
st side next,st,side,next,6
star chicago illinois,star,chicago,illinois,6
start new year,start,new,year,5
started new job,started,new,job,5
stay home mom,stay,home,mom,6
stay tuned next,stay,tuned,next,5
step right direction,step,right,direction,6
still don�t know,still,don�t,know,5
still dont know,still,dont,know,5
still feel like,still,feel,like,11
still feels like,still,feels,like,6
still going strong,still,going,strong,7
still pretty small,still,pretty,small,5
still trying figure,still,trying,figure,5
story another day,story,another,day,5
story revolves around,story,revolves,around,7
sts p row,sts,p,row,6
subject change removal,subject,change,removal,20
sugar snap peas,sugar,snap,peas,5
super easy make,super,easy,make,8
supreme flavor spirit,supreme,flavor,spirit,6
sure can handle,sure,can,handle,5
sure check back,sure,check,back,9
sure come back,sure,come,back,5
sure youve heard,sure,youve,heard,5
take deep breath,take,deep,breath,11
take good care,take,good,care,6
take long time,take,long,time,11
take lot time,take,lot,time,5
take time read,take,time,read,6
taken back seat,taken,back,seat,5
takes long time,takes,long,time,5
